Title,Link,Keywords,Resumen,Importancia
Symbiotic organs shaped by distinct modes of genome evolution in cephalopods.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6386654/,"symbiotic, organs, shaped, distinct, modes, genome","Analysis of the genome of the Hawaiian squid *Euprymna scolopes* reveals extensive genomic reorganization in cephalopods and provides new insights into the evolution of specialized symbiotic organs. The two symbiotic organs of *E. scolopes*, the light organ (LO) and the accessory nidamental gland (ANG), were found to have arisen through distinct evolutionary mechanisms; the LO evolved by subfunctionalization of ocular genes, whereas the ANG was enriched with species-specific orphan genes. Genes associated with these symbiotic organs showed signs of recent duplications, unlike the older genes related to the brain and eyes.",6
Modeled microgravity alters lipopolysaccharide and outer membrane vesicle production of the beneficial symbiont Vibrio fischeri,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7940393/,Modeled microgravity alters lipopolysaccharide and outer,"This study examines the impact of simulated microgravity on the symbiotic bacterium *Vibrio fischeri*, demonstrating a significant increase in lipopolysaccharide (LPS) release and outer membrane vesicle (OMV) production. Although bacterial motility is not directly altered, simulated microgravity increases LPS release even in motility-deficient mutants. Furthermore, *V. fischeri* cells exposed to these conditions show increased susceptibility to membrane-disrupting agents, suggesting changes in membrane integrity. These results indicate that the physiology of symbiotic microbes can be altered under microgravity conditions, which could have important implications for host health during spaceflight.",9
Emergence of novel cephalopod gene regulation and expression through large-scale genome reorganization,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9023564/,"emergence, novel, cephalopod, gene, regulation, and","This study explores the genomic basis of the complex behaviors and large nervous systems of coleoid cephalopods (squid, cuttlefish, octopus) using the squid *Euprymna scolopes*. The research reveals extensive genomic restructuring in these animals, resulting in the emergence of hundreds of clusters of unique, tightly linked genes, termed microsyntenies. These novel microsyntenies form topological compartments with distinct regulatory structures and contribute to complex expression patterns. Microsyntenies associated with cephalopodal innovations (MACIs) enriched in nervous system expression were identified, suggesting that they were fundamental to their evolution. The study also noted larger and more variable topologically associated domains (TADs) in squid compared to humans, and proposes that microsynthetic profiling is key to understanding cephalopod innovations.",8
Modeled microgravity alters apoptotic gene expression and caspase activity in the squid-vibrio symbiosis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9389742/,modeled microgravity alters apoptotic gene expression,"This study investigated the impact of simulated microgravity on beneficial microbe-induced apoptosis using the symbiosis between the bobtail squid (*Euprymna scolopes*) and the bacterium *Vibrio fischeri*. Host genome and transcriptome analysis revealed that microgravity altered the expression of extrinsic and intrinsic apoptosis genes, leading to earlier and higher activation, particularly of caspases, whose activity was shown to be increased. These effects could be mitigated by caspase inhibitors, suggesting that perturbations in apoptosis signaling can be controlled, with implications for maintaining animal-microbial homeostasis during spaceflight.",8
In vitro generation of mechanically functional cartilage grafts based on adult human stem cells and 3D-woven poly(epsilon-caprolactone) scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2824534/,"vitro, generation, mechanically, functional, cartilage, grafts","This study explored functional cartilage tissue engineering in vitro using human mesenchymal stem cells (hMSCs) combined with three-dimensionally woven poly(Îµ-caprolactone) (PCL) scaffolds. The objectives included achieving cartilage-like mechanical properties, demonstrating cartilage formation by hMSCs on the scaffolds, and analyzing the impact of scaffold structure (loosely woven vs. tightly woven), culture vessel (static vs. rocking bioreactor), and medium composition. The results showed that constructs with tightly woven PCL scaffolds cultured in bioreactors achieved aggregate modules close to normal articular cartilage. The bioreactors produced constructs with higher collagen content and a more homogeneous matrix, while chondrogenic additives increased glycosaminoglycans (GAGs) and early collagen II messenger RNA expression, especially without serum. Chondrogenesis was verified histologically by rounded cells within a hyaline matrix that immunostained for type II but not type I collagen. These findings demonstrate the feasibility of engineering functional cartilage tissue from hMSCs and 3D woven PCL scaffolds.",10
Chondrogenesis and mineralization during in vitro culture of human mesenchymal stem cells on three-dimensional woven scaffolds,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2991213/,Chondrogenesis and mineralization during vitro culture,"This study investigates the use of human mesenchymal stem cells (hMSCs) on three-dimensional (3D) polycaprolactone (PCL) scaffolds for skeletal tissue engineering, evaluating how culture duration and medium additives influence the structure, composition, mechanical, and molecular properties of the generated tissues. Bone marrow hMSCs were seeded on PCL scaffolds and cultured for 1, 21, or 45 days, under chondrogenic or osteogenic conditions. In chondrogenic medium, cartilage tissue was formed by day 21, with hypertrophic mineralization observed at the interface with the scaffold by day 45. Glycosaminoglycan, hydroxyproline, and calcium contents, as well as alkaline phosphatase activity, depended on culture duration and additives, showing significant interactive effects. The 45-day-old constructs exhibited mechanical properties similar to native articular cartilage and gene expression characteristic of chondrogenesis and endochondral bone formation. In contrast, the osteogenic medium produced limited osteogenesis. These findings suggest that long-term culture of hMSCs on 3D scaffolds under chondrogenic conditions results in chondrogenesis and regional mineralization, which is relevant for graft development in the repair of osteochondral defects.",10
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8269219/,"microbiome, metadata, standards, report, national, data","This text is a correction to a scientific article entitled ""Microbiome metadata standards: report of the National Microbiome Data Collaborative's workshop and follow-on activities"" by Vangay et al., published in the journal mSystems. The correction specifies how the article's authorship and affiliation should be read. This is an open access article under a Creative Commons license, provided by the American Society for Microbiology (ASM) and hosted on an official U.S. government website.",8
Spaceflight alters host-gut microbiota interactions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11362537/,"spaceflight, alters, host gut, microbiota, interactions","This study investigates the impact of spaceflight on mammals, focusing on interactions between the gut microbiome and the host. Using a multi-omics approach in mice, the gut microbiota and gene expression in the colon and liver were analyzed after 29 and 56 days in space. The study revealed significant changes in 44 microbial species, such as a reduction in bile acid and butyrate-metabolizing bacteria (*Extibacter muris*, *Dysosmobacter welbionis*), and an overrepresentation of genes related to fatty acid and bile metabolism, extracellular matrix interactions, and antibiotic resistance. At the host level, corresponding alterations in bile acid and energy metabolism, as well as immune suppression, were observed. These results imply that interactions at the gut-microbiome interface contribute to spaceflight-associated pathologies and are crucial for human health and the viability of long-duration space missions.",7
Asparagine biosynthesis as a mechanism of increased host lethality induced by Serratia marcescens in simulated microgravity environments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9111996/,asparagine biosynthesis mechanism increased host lethality,"This study investigates how simulated microgravity (LSMMG) increases the virulence of the opportunistic bacterium *Serratia marcescens*, a pathogen relevant to astronaut health. The findings show that LSMMG increases asparagine uptake and synthesis in *S. marcescens*, leading to a significant increase in host (*Drosophila melanogaster*) mortality. This effect is reproduced by adding aspartate and glutamine, precursors of asparagine, and is associated with overexpression of the *asnB* gene (asparagine synthase B) in the bacterium. Although accelerated bacterial growth contributes, the combination of aspartate and glutamine is required for maximum lethality and overexpression of key genes in the asparagine pathway. Furthermore, L-asparaginase, which breaks down asparagine, was identified as able to mitigate LSMMG-induced virulence, offering a potential countermeasure strategy. The research highlights the importance of the asparagine utilization pathway for understanding the molecular mechanisms of virulence in microgravity and developing solutions.",9
Comparative genomic analysis of Cohnella hashimotonis sp. nov. isolated from the International Space Station.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10308117/,comparative genomic cohnella hashimotonis nov isolated,"A new bacterial strain, F6_2S_P_1T, was isolated in April 2018 from the wall behind the Waste Hygiene Compartment aboard the International Space Station (ISS). Through genomic analysis, it was identified as a novel species within the genus Cohnella, and the name *Cohnella hashimotonis* was proposed. This discovery, part of the Microbial Tracking mission, highlights the importance of studying the ISS microbiome for astronaut health and the development of biotechnological applications in future space habitats. Complete genome sequences of related Cohnella type strains have also been generated for characterization.",9
Characterization of metagenome-assembled genomes from the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10233975/,"characterization, metagenome assembled, genomes, from, international, space","This study generated and analyzed 46 metagenome-assembled genomes (MAGs) from 21 environmental samples from the International Space Station (ISS) to investigate microbial diversity and its evolution under spaceflight conditions. Eighteen bacterial species were identified, including one new genus/species and one new bacterial species, and fungal genomes were assembled from ISS metagenomes for the first time. The analyses revealed ISS-specific evolution in some bacterial species, enrichment of cell membrane genes, and the characterization of antimicrobial resistance and virulence genes, which are more prevalent in certain strains. Genetic variations observed in strains such as Pantoea/Kalamiella suggest their susceptibility to microgravity. These reconstructed genomes will facilitate future studies of microbial evolution in space.",8
Biocontrol in built environments to reduce pathogen exposure and infection risk.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10848226/,"biocontrol, built, environments, reduce, pathogen, exposure","The built environment harbors diverse microbial communities, including antibiotic-resistant pathogens that pose infection risks. Despite a long history of disinfection methods, from ancient to modern practices, antimicrobial resistance has increased, rendering traditional cleaning solutions increasingly ineffective. A promising new strategy is microbial biocontrol, which involves the introduction of beneficial microbes, such as Bacillus spores, to inhibit pathogen survival and transmission. However, the exact mechanisms of this action are not fully understood. Continued research using advanced methods such as high-throughput sequencing and metabolomics, along with experimental studies and targeted interventions, is required to better understand the microbial ecology of built environments and develop effective and validated biocontrol solutions, especially in clinical settings where drug-resistant pathogens are a growing global health concern.",7
Extracellular nucleotides elicit cytosolic free calcium oscillations in Arabidopsis.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3329368/,"extracellular, nucleotides, elicit, cytosolic, free, calcium","Extracellular purine nucleotides (ATP and ADP) regulate plant development, defense, and stress responses by activating plasma membrane calcium channels. This research reveals that, in addition to factors known as wounding or osmotic stress, abscisic acid (ABA) and L-glutamate also cause ATP accumulation around the roots of *Arabidopsis thaliana*. The release of ADP from the root epidermis triggers an ionotropic receptor-like activity, causing a transient increase in free cytosolic calcium that, unlike that induced by ATP, does not involve extracellular reactive oxygen species, as confirmed experimentally. The perception of these nucleotides also influences the net fluxes of Ca2+ and K+ in root cells.",7
"Calcium, mechanical signaling, and tip growth",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,"calcium, mechanical, signaling, and tip, growth","This study investigated root gravitropism in rice plants, identifying a mutant (crw1) that exhibits root coiling in hydroponic culture but normal gravitropic growth in soil. The causative gene was found to be COILING ROOT IN WATER 1 (CRW1), which encodes an EIN3-binding F-box protein (OsEBF1). The absence of OsCRW1 amplifies ethylene signaling through the OsEIL1/2-OsERF82 module, resulting in overproduction of reactive oxygen species (ROS) at the root tip. This, in turn, compromises root cap stability, the polar localization of OsPIN2, and the symmetrical distribution of auxin, thereby impairing gravitropic growth. However, mechanical resistance, such as that found in waterlogged soil, impedes the ethylene signaling module. We show that mechanosensation-induced calcium signaling is crucial in antagonizing the ethylene signaling pathway, safeguarding gravitropism. The study reveals a complex and unexpected interplay between ethylene, auxin, and mechanosensation in the control of plant gravitropism.",6
Gravitropism and mechanical signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,Gravitropism and mechanical signaling in plants,"A study identified a mutation in rice (crw1) that causes roots to coil in hydroponic culture but grow normally in soil. This mutation affects the COILING ROOT IN WATER 1 (CRW1) gene, which encodes an F-box protein, and results in amplified ethylene signaling. This in turn increases the production of reactive oxygen species, which affects root cap stability, the polar localization of OsPIN2, and auxin distribution, altering gravitropism. The study also demonstrated that mechanosensation, through calcium signaling, antagonizes ethylene signaling, restoring normal gravitropism in the soil and revealing a complex interplay between ethylene, auxin, and mechanosensation in the control of plant gravitropism.",6
"Salt stress-induced Ca2+ waves are associated with rapid, long-distance root-to-shoot signaling in plants.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4035928/,"salt, stress induced, ca2, waves, are, associated","The text describes a previously unknown plant signaling system based on the rapid long-distance transmission of Ca2+ waves. These waves, traveling up to 400 Âµm/s through the cortical and endodermal layers, are triggered by localized stress (such as salt in Arabidopsis roots) and activate systemic molecular responses in distant parts of the plant. The propagation of these Ca2+ waves depends on the vacuolar ion channel TPC1 and allows for rapid integration of activities throughout the organism, functioning as a sensory network that rapidly transmits information between distant sites.",7
Gravitropic signaling in plants,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12008199/,gravitropic signaling plants,"study of rice root gravitropism identified a mutant (`crw1`) that exhibits root coiling in hydroponics but normal gravitropic growth in soil. This phenotype is caused by a loss-of-function mutation in the `COILING ROOT IN WATER 1` (OsCRW1)` gene, which amplifies ethylene signaling. This leads to an overaccumulation of reactive oxygen species (ROS) at the root tip, affecting calyptra stability, OsPIN2 polar localization, and auxin distribution, severely impairing gravitropism. However, mechanical resistance and mechanosensation-induced calcium signaling antagonize ethylene signaling, safeguarding gravitropism and restoring normal growth in soil. This work reveals a complex interplay between ethylene, auxin, and mechanosensation in the control of plant gravitropism.",6
Wortmannin-induced vacuole fusion enhances amyloplast dynamics in Arabidopsis zigzag1 hypocotyls.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5181587/,"wortmannin induced, vacuole, fusion, enhances, amyloplast, dynamics","This study investigates the role of the central vacuole in gravitropism in *Arabidopsis* hypocotyls, identifying the upper endodermal cells as the gravity sensors. It shows that the *zigzag-1* mutant (zig-1), with fragmented vacuoles, exhibits highly restricted amyloplast movement, which contributes to its agravitropic phenotype. Treatment with wortmannin induces fusion of these vacuoles, restoring amyloplast sedimentation, increasing transvacuolar strand formation, and enhancing the gravitropic response of the mutant. The findings suggest a close physical association between amyloplasts and vacuolar membranes that is independent of F-actin and microtubules, indicating that vacuolar membrane remodeling may regulate the association between vacuoles and amyloplasts during gravisensing.",7
ROS-assisted calcium wave dependent on AtRBOHD and TPC1 propagates the systemic response to salt stress in Arabidopsis roots,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4936552/,"ros assisted, calcium, wave, dependent, atrbohd, and","This study investigates the propagation of Ca2+ waves in plants as part of their systemic signaling systems in the face of stress. Through mathematical modeling and experiments in *Arabidopsis*, the authors conclude that a simple Ca2+-induced Ca2+ release (CICR) mechanism is insufficient to explain the observed transmission rates. They propose and demonstrate that systemic signaling in the root is supported by a reactive oxygen species (ROS)-assisted CICR mechanism, involving ROS production by AtRBOHD and Ca2+ release dependent on the vacuolar channel TPC1. Experiments with ROS inhibitors and *AtrbohD* mutants support this model, showing a reduction in Ca2+ wave velocity and systemic ROS propagation dependent on AtRBOHD and TPC1.",8
"ROS, calcium and electrical signals: Key mediators of rapid systemic signaling in plants",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7610290/,"ros, calcium, and, electric, signals, key","This study reveals that expression of the RBOHD gene in phloem or xylem parenchyma cells (vascular bundles) is crucial for systemic reactive oxygen species (ROS) signaling, stress-response transcript expression, and systemic acquired acclimation (SAA) in Arabidopsis plants under light stress. Complementation experiments in rbohD mutants showed that restoring RBOHD specifically to these vascular tissues fully restored systemic responses, unlike its expression in the epidermis or mesophyll, which only partially restored it, or in the bundle sheath, which had no effect. This highlights a key role for RBOHD-mediated ROS production in vascular bundles in light stress- and SAA-induced systemic signaling, further suggesting that integration of ROS, calcium, electrical, and hydraulic signals occurs in these structures.",8
Real-time In Vivo Recording of Arabidopsis Calcium Signals During Insect Feeding Using a Fluorescent Biosensor,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5614317/,"real time, live, recording, arabidopsis, calcium, signals","This protocol presents a robust method for detecting calcium signals in *Arabidopsis thaliana* plants in real time during feeding by aphids (*Myzus persicae*), a hemipteran pest. By using a genetically encoded GFP-based calcium biosensor (GCaMP3) and fluorescence microscopy on detached leaves, high spatial and temporal resolution is achieved. The technique reveals a rapid and highly localized elevation of cytosolic calcium around the aphid feeding site within minutes, offering an adaptable tool for studying calcium dynamics in diverse biotic interactions.",8
"Orchestrating rapid long-distance signaling in plants with Ca2+ , ROS, and electrical signals",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5677518/,"orchestrating, rapid, long distance, signaling, plants, with","Plants exhibit a rapid systemic response to a wide range of environmental stresses, transmitting signals from the point of perception to distal organs to prepare the entire plant for future challenges. This rapid communication involves a ""trio signaling"" network composed of reactive oxygen species (ROS), Ca2+, and electrical signals. Cell-to-cell communication in plants is facilitated through plasmodesmata, direct cytoplasmic connections that, despite the cell wall barrier, enable the regulated systemic transport of ions, metabolites, hormones, proteins, and RNA. Plasmodesmata permeability is regulated, for example, by callose deposition in response to stress, and this comprehensive signaling system, including systemic resistance and acclimatization, improves plant fitness.",8
"Glutamate triggers long-distance, calcium-based plant defense signaling.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11850895/,"glutamate, triggers, long distance, calcium based, plant, defense","This study explores the mechanisms of systemic communication in plants, which lack a nervous system but respond to environmental challenges. Contrary to the expectation that glutamate (Glu) activates plant defense, a glutathione (GSH)-deficient *Arabidopsis* mutant was found to accumulate Glu but display an attenuated defensive response. The findings reveal that GSH is a critical signaling molecule that, in dependence on the GLUTAMATE RECEPTOR-LIKE 3.3 (GLR3.3) receptor, triggers calcium-based long-distance defense signaling events in plants, offering new insights into sophisticated plant defense systems against herbivores and pathogens.",6
Test of Arabidopsis Space Transcriptome: A discovery environment to explore multiple plant biology spaceflight experiments.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7076552/,"test, arabidopsis, space, transcriptome, discovery, environment","The text describes the creation of TOAST (Test Of Arabidopsis Space Transcriptome), a relational database that uses Qlik software to address the complexity of analyzing and visualizing the growing amount of plant omics data generated in spaceflight experiments. TOAST integrates data from NASA's GeneLab and other repositories, standardizing gene identifiers in Entrez to facilitate uniform and interactive comparisons. This tool makes it possible to explore genetic networks, confirm previously known gene expression patterns (such as responses to oxidative stress), and generate new hypotheses about how plants react to the space environment, making the information accessible to a broad scientific audience.",8
Tonoplast-localized Ca2+ pumps regulate Ca2+ signals during pattern-triggered immunity in Arabidopsis thaliana.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7414185/,"Tonoplast localized, ca2, pumps, regulate, signals, during","This study investigates Ca2+ signaling in plant immune responses, focusing on the role of Ca2+ pumps (ACA4 and ACA11) located in the tonoplast. We found that aca4/11 mutant plants exhibited elevated basal Ca2+ levels and higher amplitude Ca2+ signals in response to the bacterial peptide flg22. These abnormal phenotypes, which included a constitutive defense response, could be suppressed by growing the plants at elevated temperatures or by relocating a plasma membrane Ca2+ pump (ACA8) to the tonoplast, provided it was catalytically active. These findings suggest that tonoplast Ca2+ pumps are crucial for proper Ca2+ dynamics in innate immune responses, and that the action of these pumps is fundamental, regardless of whether they possess specific regulatory elements not found in plasma membrane pumps.",7
The fast and the furious: Rapid long-range signaling in plants.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8133610/,"fast, and, furious, rapid, long range, signaling","Plants possess a complex system of signaling to rapidly respond to local stimuli throughout the plant. This system includes chemical messengers such as hormones, peptides, RNA, and metabolites that travel through the vascular system, integrating physiology and development. In parallel, there are much faster communication pathways that utilize electrical, calcium (Ca2+), reactive oxygen species (ROS), and hydraulic signals. The latter are essential for immediate responses, such as defense against herbivores or rapid movements in plants like the Dionea flytrap and Mimosa pudica, where action potentials and variations, and even hydraulic pressure changes, allow the transmission of information at speeds that far exceed chemical transport. Current research focuses on unraveling the molecular machinery, such as ion channels and enzymes, that underpin this vital communication network.",6
Rad-Bio-App: A discovery environment for biologists to explore spaceflight-related radiation exposures,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8113475/,rad bio app discovery environment for biologists explore,"Exposure to ionizing radiation during spaceflight poses complex challenges for biological systems, with data that are difficult to access and understand. To address this, Rad-Bio-App, a web-based database that imports radiation metadata from experiments archived in NASA's GeneLab repository, has been developed. This tool allows users, including non-specialists, to visualize, filter, and compare dosimetry and other metadata, facilitating understanding of the impact of radiation on organisms in the space context and supporting scientific research.",8
The vacuolar H+/Ca transporter CAX1 participates in submergence and anoxia stress responses.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9706465/,vacuolar transporter cax1 participates submergence and,"This study demonstrates that mutant Arabidopsis plants lacking the CAX1 gene (cax1) exhibit significantly increased tolerance to anoxic conditions and submergence compared to wild-type plants. The cax1 mutants exhibit increased survival, reduced chlorophyll loss, and improved recovery following oxygen deprivation. Investigations revealed that this tolerance is associated with altered metabolic processes, decreased post-anoxic reactive oxygen species production, and changes in hormonal and calcium signaling. These findings suggest that the CAX1 anoxia-response pathway could be genetically modified to improve crop resistance to the adverse effects of flooding.",7
Meta-analysis of the space flight and microgravity response of the Arabidopsis plant transcriptome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10027818/,"meta analysis, space, flight, and microgravity response","This study reanalyzed fifteen *Arabidopsis thaliana* spaceflight experiments from NASA's GeneLab repository, employing a standardized computational pipeline and a curated metadata matrix. The research sought to understand plant responses to a complex space environment, including altered gravity and radiation. Findings revealed that factors such as the type of analysis (microarray vs. RNA-seq) and hardware or environmental conditions have a significant confounding effect, often surpassing the impact of spaceflight itself on gene expression patterns. Despite this, the standardized approach and metadata matrix allowed for the identification of known responses, such as oxidative stress, and the discovery of new response elements, such as COR78 gene expression, improving the robustness of comparisons between different plant transcriptomic datasets across space.",9
"Low-dose, ionizing radiation and age-related changes in skeletal microarchitecture",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337602/,"low dose, ionizing, radiation, and age related changes","A study evaluated the impact of low doses of gamma radiation on skeletal aging in mice, focusing on microarchitectural changes. The study demonstrated that acute exposure to 100 cGy of gamma radiation accelerated changes in cancellous bone, such as decreased trabecular number and connectivity, with changes observed within one month similar to those seen in four months of natural aging. However, doses of 1 cGy or 10 cGy had no significant effects, and radiation did not affect bone cell differentiation ex vivo.",7
Ionizing Radiation Stimulates Expression of Pro-Osteoclastogenic Genes in Marrow and Skeletal Tissue,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4490751/,Ionizing radiation stimulates expression of pro osteoclastogenic genes,"Total body irradiation, whether by gamma rays or heavy ions, causes rapid bone mineral loss and an increase in bone-resorbing osteoclasts. A study in mice showed that radiation exposure induces a rapid and persistent increase in the expression of the osteoclastogenic cytokine Rankl and other pro-osteoclastic cytokines in bone marrow cells, which precedes and overlaps with an increase in bone resorption markers. This results in a net pro-resorptive balance and a 16% decrease in cancellous bone after one week, contributing to the rapid and progressive deterioration of bone microarchitecture.",8
Preservation of Multiple Mammalian Tissues to Maximize Science Return from Ground Based and Spaceflight Experiments,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5132293/,"preservation, multiple, mammalian, tissues, maximize, science","This study aimed to optimize rodent tissue collection and preservation methods for experiments, especially in resource-limited settings such as spaceflight. The impact of post-euthanasia collection time, preservation methods, and storage duration on RNA quality and enzymatic activity in tissues such as liver and spleen was investigated, as well as the feasibility of dissecting multiple tissues from frozen cadavers. The results showed that fresh tissues could be collected up to one hour after euthanasia and stored for up to 11 months at -80°C with minimal effects on RNA quality from livers and spleens preserved in RNAlater. Liver enzyme activity remained similar to that of controls. The quality of RNA from liver, heart, and kidneys of cadavers frozen for up to 7 months was minimally affected, although other tissues such as small intestine and bone marrow showed earlier degradation. It is concluded that the developed protocols allow obtaining high-quality samples for RNA and some protein expression analysis, even with delayed preservation or prolonged storage, which is highly relevant for both ground-based experiments with sampling limitations and space missions.",9
Hindlimb Unloading: Rodent Analog for Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11747068/,hindlimb unloading rodent analog for microgravity,"This study used single-cell RNA sequencing (scRNA-seq) to generate a cellular atlas of the carotid and femoral arteries of rats subjected to three months of hindlimb unloading, a model that simulates microgravity. The objective was to understand the cell populations, dysregulated genes, cell communication, and key transcription factors involved in vascular remodeling caused by prolonged spaceflight. The findings revealed an increased percentage of endothelial cells in the carotid artery and a decrease in smooth muscle cells in both arteries following the simulation. Dysregulated genes related to extracellular matrix remodeling, inflammation, and vasoconstriction were identified, with notable variability in fibroblasts, and enhanced intercellular interactions were observed, especially between smooth muscle cells and fibroblasts. Furthermore, several influential transcription factors were predicted. This work provides the first cellular atlas of conduit arteries in hindlimb-unloaded rats, offering a valuable reference for future research on vascular deconditioning in space.",7
Redox Signaling and Its Impact on Skeletal and Vascular Responses to Spaceflight,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666834/,redox signaling and its impact on skeletal,"The text examines how microgravity and radiation in space affect the mammalian skeleton and vasculature, highlighting the role of oxidative stress and redox signaling in tissue dysfunction. Microgravity is observed to contribute to osteopenia and vascular alterations, while ionizing radiation damages DNA and cells. In both astronauts and animal models, changes in redox status are evident, with increased oxidative damage and decreased antioxidant defenses during and after spaceflight, impacting bone, heart, liver, and eye health. Altered nitric oxide bioavailability, crucial for vascular function and bone remodeling, is a key mechanism. Understanding these effects is essential for developing interventions to mitigate spaceflight-induced deficits.",7
Influence of social isolation during prolonged simulated weightlessness by hindlimb unloading,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6753329/,"influence, social, isolation, during, prolonged, simulated","This study investigated the contribution of social isolation to tissue responses in mice subjected to a hindlimb unloading (HU) model, which simulates weightlessness. To do so, the traditional HU system was modified to allow for social pair housing and compared mice housed individually and socially for 30 days. The results showed that expected musculoskeletal deficits were similar in both social environments. However, immune and hypothalamic-pituitary-adrenal (HPA) axis responses were influenced by the social environment: unloading reduced CD4+ T cells in individual mice but not in social mice, and increased adrenal gland mass in social mice, an effect also observed for social isolation itself. The authors conclude that musculoskeletal responses to simulated weightlessness are consistent, but combined stressors may mask or differentiate other biological responses.",7
Validation of a new Rodent experimental System to investigate consequences of Long Duration Space Habitation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7012842/,"validation, new, rodent, experimental, system, investigate","The text describes NASA's Rodent Research-1 (RR-1) experiment, the primary objective of which was to establish a new capability to conduct long-term studies with rodents in space and to retrieve samples in situ in orbit, avoiding the confounding factors associated with return to Earth. Female mice were housed on the International Space Station for 21/22 or 37 days in microgravity, where they were euthanized and their tissues (livers and spleens) dissected. The mice remained healthy, showed increased physical activity, and those exposed for 37 days showed increased liver mass and enzyme activity, with the expected atrophy of the soleus muscle. The quality of the RNA and enzymatic activity of the samples was acceptable, validating the system for long-term experiments and sample recovery in orbit without inducing chronic stress.",10
Skeletal tissue regulation by catalase over-expression in mitochondria,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405755/,"skeletal, tissue, regulation, catalase, over expression, mitochondria","This study investigated disuse-related muscle atrophy in fast-twitch muscles, such as the gastrocnemius, and determined that mitochondrial dysfunction—manifested by defective fusion and compromised OXPHOS capacity—rather than oxidative stress, triggers muscle loss by activating the AMPK pathway. It was shown that overexpression of PGC-1 prevented atrophy by maintaining mitochondrial fusion proteins and inhibiting AMPK pathway activation and catabolic factor expression. This suggests that compounds that induce PGC-1Î± could be useful for treating and preventing muscle atrophy in fast-twitch muscles.",7
Overexpression of catalase in mitochondria mitigates changes in hippocampal cytokine expression following simulated microgravity and isolation.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8260663/,"overexpression, catalase, mitochondria, mitigates, changes, hippocampal","This study examined the effects of isolation and simulated microgravity, individually or in combination, on the hippocampal inflammatory cytokine profile in mice, replicating spaceflight and prolonged rest conditions. Both isolation and simulated microgravity were found to regulate distinct repertoires of inflammation-associated cytokines in the hippocampus, and their combined effects were not additive. Mice genetically engineered to reduce mitochondrial reactive oxygen species (MCAT) showed protection against these isolation- and/or simulated microgravity-induced changes. These findings suggest a crucial role for mitochondrial reactive oxygen species (ROS) signaling in neuroinflammatory responses and highlight the importance of mitigating these species to protect the central nervous system during prolonged space exploration and other situations of isolation or inactivity on Earth.",8
